Time,U,Y,X1,X2,X3
2.6,-355.0,-1.0,-1.0,87.91,-18945.98
2.61,452.0,-1.0,-1.0,-14.27,10997.82
2.62,831.0,-1.0,-1.0,73.21,-14706.09
2.63,536.0,0.0,-0.0,122.51,-28832.18
2.64,-516.0,-1.0,-1.0,90.9,-19630.59
2.65,425.0,-1.0,-1.0,-32.12,16403.72
2.66,883.0,-1.0,-1.0,69.55,-13494.4
2.67,544.0,0.0,-0.0,128.72,-30515.01
2.68,-544.0,0.0,0.0,93.27,-19975.29
2.69,-448.0,0.0,0.0,-34.1,17319.67
2.7,20.0,0.0,0.0,-30.46,16029.87
2.71,55.0,-1.0,-1.0,22.56,128.74
2.72,755.0,-1.0,-1.0,29.19,-1870.1
2.73,751.0,0.0,-0.0,110.96,-25590.98
2.74,-403.0,-1.0,-1.0,114.54,-26691.17
2.75,408.0,-1.0,-1.0,-18.12,12220.38
2.76,890.0,-1.0,-1.0,68.21,-13158.12
2.77,602.0,-1.0,-1.0,128.59,-30741.45
2.78,367.0,-1.0,-1.0,99.19,-21950.51
2.79,444.0,-1.0,-1.0,70.86,-13551.83
2.8,535.0,-1.0,-1.0,78.49,-15728.99
2.81,502.0,-1.0,-1.0,89.53,-18882.44
2.82,453.0,-1.0,-1.0,86.68,-17955.39
2.83,451.0,-1.0,-1.0,81.11,-16241.82
2.84,462.0,-1.0,-1.0,80.86,-16096.68
2.85,456.0,-1.0,-1.0,82.32,-16452.0
2.86,443.0,-1.0,-1.0,81.9,-16257.37
2.87,437.0,-1.0,-1.0,80.66,-15827.18
2.88,435.0,-1.0,-1.0,80.15,-15611.16
2.89,431.0,-1.0,-1.0,80.08,-15529.7
2.9,426.0,-1.0,-1.0,79.83,-15394.31
2.91,422.0,-1.0,-1.0,79.42,-15215.97
2.92,419.0,-1.0,-1.0,79.11,-15069.89
2.93,416.0,-1.0,-1.0,78.92,-14958.55
2.94,413.0,-1.0,-1.0,78.74,-14851.33
2.95,410.0,-1.0,-1.0,78.55,-14743.27
2.96,408.0,-1.0,-1.0,78.39,-14645.23
2.97,406.0,-1.0,-1.0,78.26,-14559.61
2.98,404.0,-1.0,-1.0,78.16,-14481.64
2.99,402.0,-1.0,-1.0,78.07,-14409.19
3.0,400.0,-1.0,-1.0,78.01,-14343.36
3.01,399.0,-1.0,-1.0,77.96,-14284.55
3.02,398.0,-1.0,-1.0,77.93,-14231.82
3.03,396.0,-1.0,-1.0,77.91,-14184.45
3.04,395.0,-1.0,-1.0,77.91,-14142.17
3.05,394.0,-1.0,-1.0,77.93,-14104.89
3.06,394.0,-1.0,-1.0,77.95,-14072.3
3.07,393.0,-1.0,-1.0,77.99,-14043.98
3.08,392.0,-1.0,-1.0,78.04,-14019.63
3.09,392.0,-1.0,-1.0,78.1,-13999.09
3.1,392.0,-1.0,-1.0,78.18,-13982.11
3.11,391.0,-1.0,-1.0,78.26,-13968.45
3.12,391.0,-1.0,-1.0,78.35,-13957.91
3.13,391.0,-1.0,-1.0,78.45,-13950.31
3.14,391.0,-1.0,-1.0,78.55,-13945.43
3.15,391.0,-1.0,-1.0,78.67,-13943.12
3.16,391.0,-1.0,-1.0,78.79,-13943.23
3.17,391.0,-1.0,-1.0,78.91,-13945.59
3.18,391.0,-1.0,-1.0,79.05,-13950.07
3.19,391.0,-1.0,-1.0,79.18,-13956.54
3.2,392.0,-1.0,-1.0,79.33,-13964.86
3.21,392.0,-1.0,-1.0,79.48,-13974.93
3.22,392.0,-1.0,-1.0,79.63,-13986.65
3.23,393.0,-1.0,-1.0,79.79,-13999.89
3.24,393.0,-1.0,-1.0,79.95,-14014.56
3.25,394.0,-1.0,-1.0,80.12,-14030.54
3.26,394.0,-1.0,-1.0,80.29,-14047.82
3.27,395.0,-1.0,-1.0,80.46,-14066.3
3.28,395.0,-1.0,-1.0,80.64,-14085.89
3.29,396.0,-1.0,-1.0,80.82,-14106.51
3.3,397.0,-1.0,-1.0,81.0,-14128.06
3.31,397.0,-1.0,-1.0,81.18,-14150.54
3.32,398.0,-1.0,-1.0,81.37,-14173.89
3.33,399.0,-1.0,-1.0,81.56,-14198.05
3.34,399.0,-1.0,-1.0,81.75,-14222.94
3.35,400.0,-1.0,-1.0,81.94,-14248.54
3.36,401.0,-1.0,-1.0,82.14,-14274.82
3.37,402.0,-1.0,-1.0,82.34,-14301.7
3.38,403.0,-1.0,-1.0,82.53,-14329.18
3.39,403.0,-1.0,-1.0,82.73,-14357.18
3.4,404.0,-1.0,-1.0,82.94,-14385.68
3.41,405.0,-1.0,-1.0,83.14,-14414.65
3.42,406.0,-1.0,-1.0,83.34,-14444.11
3.43,407.0,-1.0,-1.0,83.55,-14474.0
3.44,408.0,-1.0,-1.0,83.76,-14504.27
3.45,408.0,-1.0,-1.0,83.96,-14534.86
3.46,409.0,-1.0,-1.0,84.17,-14565.81
3.47,410.0,-1.0,-1.0,84.38,-14597.1
3.48,411.0,-1.0,-1.0,84.59,-14628.7
3.49,412.0,-1.0,-1.0,84.8,-14660.59
3.5,413.0,-1.0,-1.0,85.02,-14692.75
3.51,414.0,-1.0,-1.0,85.23,-14725.15
3.52,415.0,-1.0,-1.0,85.44,-14757.76
3.53,416.0,-1.0,-1.0,85.66,-14790.6
3.54,417.0,-1.0,-1.0,85.87,-14823.66
3.55,417.0,-1.0,-1.0,86.09,-14856.89
3.56,418.0,-1.0,-1.0,86.3,-14890.33
3.57,419.0,-1.0,-1.0,86.52,-14923.9
3.58,420.0,-1.0,-1.0,86.73,-14957.64
3.59,421.0,-1.0,-1.0,86.95,-14991.54
3.6,422.0,-1.0,-1.0,87.17,-15025.59
3.61,423.0,-1.0,-1.0,87.39,-15059.74
3.62,424.0,-1.0,-1.0,87.6,-15094.02
3.63,425.0,-1.0,-1.0,87.82,-15128.46
3.64,426.0,-1.0,-1.0,88.04,-15162.98
3.65,427.0,-1.0,-1.0,88.26,-15197.58
3.66,428.0,-1.0,-1.0,88.48,-15232.28
3.67,429.0,-1.0,-1.0,88.7,-15267.06
3.68,430.0,-1.0,-1.0,88.92,-15301.91
3.69,431.0,-1.0,-1.0,89.14,-15336.86
3.7,432.0,-1.0,-1.0,89.36,-15371.88
3.71,433.0,-1.0,-1.0,89.58,-15406.99
3.72,434.0,-1.0,-1.0,89.8,-15442.13
3.73,435.0,-1.0,-1.0,90.02,-15477.3
3.74,436.0,-1.0,-1.0,90.24,-15512.55
3.75,437.0,-1.0,-1.0,90.46,-15547.87
3.76,438.0,-1.0,-1.0,90.69,-15583.24
3.77,439.0,-1.0,-1.0,90.91,-15618.66
3.78,440.0,-1.0,-1.0,91.13,-15654.1
3.79,441.0,-1.0,-1.0,91.35,-15689.58
3.8,442.0,-1.0,-1.0,91.57,-15725.12
3.81,443.0,-1.0,-1.0,91.79,-15760.7
3.82,444.0,-1.0,-1.0,92.02,-15796.3
3.83,445.0,-1.0,-1.0,92.24,-15831.88
3.84,446.0,-1.0,-1.0,92.46,-15867.52
3.85,447.0,-1.0,-1.0,92.68,-15903.24
3.86,448.0,-1.0,-1.0,92.91,-15938.94
3.87,449.0,-1.0,-1.0,93.13,-15974.64
3.88,450.0,-1.0,-1.0,93.35,-16010.37
3.89,451.0,-1.0,-1.0,93.57,-16046.13
3.9,452.0,0.0,-0.0,94.5,-16082.19
3.91,-407.0,-1.0,-1.0,93.98,-16121.29
